id,name,parent_id,color,label_tree_id,source_id,rank,scientificname,status,valid_AphiaID,valid_name,valid_rank
445857,TAN1303 PTU pink,443498,c59c07,3270,,Arbitrary,,,,,
445858,Rosellidae,443784,ff6666,3270,,Arbitrary,,,,,
445860,Bubarida,443730,ba66ff,3270,845473,Order,Bubarida,accepted,845473,Bubarida,Order
445861,Dictyonellidae,445860,ba66ff,3270,131632,Family,Dictyonellidae,accepted,131632,Dictyonellidae,Family
445862,Acanthella,445861,ba66ff,3270,165648,Genus,Acanthella,accepted,165648,Acanthella,Genus
445863,Acanthella n. sp. 2,445862,ba66ff,3270,,Arbitrary,,,,,
445864,Hyalascus maui sp. nov,443785,ff6666,3270,,Arbitrary,,,,,
445865,Pennatulidae,444458,c50707,3270,128484,Family,Pennatulidae,accepted,128484,Pennatulidae,Family
445866,Pennatula,445865,c50707,3270,128495,Genus,Pennatula,accepted,128495,Pennatula,Genus
445867,Leptothecata,443502,c50707,3270,13552,Order,Leptothecata,accepted,13552,Leptothecata,Order
445868,Sertularioidea,445867,c50707,3270,1041959,Superfamily,Sertularioidea,accepted,1041959,Sertularioidea,Superfamily
445869,Sertulariidae,445868,c50707,3270,1614,Family,Sertulariidae,accepted,1614,Sertulariidae,Family
445870,Ghost shark,445181,bbaaaa,3270,,Arbitrary,,,,,
445871,Stylopathidae,443501,c50707,3270,266965,Family,Stylopathidae,accepted,266965,Stylopathidae,Family
445872,Stylopathes,445871,c50707,3270,267875,Genus,Stylopathes,accepted,267875,Stylopathes,Genus
445873,Stylopathes sp.?,445872,c50707,3270,,Arbitrary,,,,,
445874,Chaunacidae,444028,30c8f2,3270,125488,Family,Chaunacidae,accepted,125488,Chaunacidae,Family
445875,Chaunax,445874,30c8f2,3270,125796,Genus,Chaunax,accepted,125796,Chaunax,Genus
445876,Coffin fish,445875,bbaaaa,3270,,Arbitrary,,,,,
445877,Caulophacus,443784,ba66ff,3270,132112,Genus,Caulophacus,accepted,132112,Caulophacus,Genus
445878,Caulophacus sp.?,445877,ba66ff,3270,,Arbitrary,,,,,
445879,Scleractinia_branching_1,443500,bbaaaa,3270,,Arbitrary,,,,,
445880,Porifera_tubes_1,443267,bbaaaa,3270,,Arbitrary,,,,,
445881,Porifera_wrinkle_1,443267,bbaaaa,3270,,Arbitrary,,,,,
445882,Porifera_ball_1,443267,bbaaaa,3270,,Arbitrary,,,,,
445883,Porifera_ball_2,443267,bbaaaa,3270,,Arbitrary,,,,,
445884,Porifera_ball_3,443267,bbaaaa,3270,,Arbitrary,,,,,
445885,Chimney_yellow_1,443267,bbaaaa,3270,,Arbitrary,,,,,
445887,Crinoid (motile) black,443176,bbaaaa,3270,,Arbitrary,,,,,
445888,Gorgonian_pink_bushy_1,443499,bbaaaa,3270,,Arbitrary,,,,,
445889,Gorgonian_white_branched_1,443499,bbaaaa,3270,,Arbitrary,,,,,
445890,Porifera_leaf_1,443267,bbaaaa,3270,,Arbitrary,,,,,
445891,Foram_brains_1,443292,bbaaaa,3270,,Arbitrary,,,,,
445892,Porifera_ball_4,443267,bbaaaa,3270,,Arbitrary,,,,,
445893,Antipatharia_pink_1,443501,a69797,3270,,Arbitrary,,,,,
445894,Gorgonian_yellow_branching_1,443499,bbaaaa,3270,,Arbitrary,,,,,
445895,Pennatulacea_orange_1,443498,c59c07,3270,,Arbitrary,,,,,
445896,Asteroidea_1,443166,bbaaaa,3270,,Arbitrary,,,,,
445897,Porifera_stalked_1,443267,bbaaaa,3270,,Arbitrary,,,,,
445898,Porifera_stalked_2,443267,bbaaaa,3270,,Arbitrary,,,,,
445899,Gorgonian_white_fanlike_1,443499,bbaaaa,3270,,Arbitrary,,,,,
445900,Gorgonian_white_naked_1,443499,bbaaaa,3270,,Arbitrary,,,,,
445901,Alcyonacea_white_1,443497,bbaaaa,3270,,Arbitrary,,,,,
445902,Porifera_wrinkle_brown_1,443267,bbaaaa,3270,,Arbitrary,,,,,
445903,Porifera_yellow_blob_1,443267,bbaaaa,3270,,Arbitrary,,,,,
445904,Ophiuroid_white_1,443168,bbaaaa,3270,,Arbitrary,,,,,
445905,Ophiuroid_red_1,443168,bbaaaa,3270,,Arbitrary,,,,,
445906,Metallogorgia_1,445675,bbaaaa,3270,,Arbitrary,,,,,
445907,Keratoisididae,443824,c50707,3270,1544106,Family,Keratoisididae,accepted,1544106,Keratoisididae,Family
445908,Lepidisis,445907,c50707,3270,125307,Genus,Lepidisis,accepted,125307,Lepidisis,Genus
445909,Lepidisis_skinny_1,445908,bbaaaa,3270,,Arbitrary,,,,,
445910,Lepidisis_bushy_1,445908,bbaaaa,3270,,Arbitrary,,,,,
445911,Porifera_white_massive_1,443267,bbaaaa,3270,,Arbitrary,,,,,
445912,Crinoid (motile) yellow,443176,bbaaaa,3270,,Arbitrary,,,,,
445913,Crinoid (motile) green,443176,bbaaaa,3270,,Arbitrary,,,,,
445914,Gorgonian_white_branched_2,443499,bbaaaa,3270,,Arbitrary,,,,,
445915,Anthomastus_red_1,443827,c50707,3270,,Arbitrary,,,,,
445916,Bryozoan_small_bushy_1,443279,bbaaaa,3270,,Arbitrary,,,,,
445917,Porifera_ball_5,443267,bbaaaa,3270,,Arbitrary,,,,,
445918,Bryozoan_small_coral-like,443279,bbaaaa,3270,,Arbitrary,,,,,
445919,Goniasteridae_1,443358,bbaaaa,3270,,Arbitrary,,,,,
445920,Asteroidea_slim_white_1,443166,bbaaaa,3270,,Arbitrary,,,,,
445921,Porifera_unknown_1,443267,bbaaaa,3270,,Arbitrary,,,,,
445922,Primnoidae_1,443831,bbaaaa,3270,,Arbitrary,,,,,
445923,Echiura_bifurcated_1,443288,bbaaaa,3270,,Arbitrary,,,,,
445924,Antipatharia_white_1,443501,a69797,3270,,Arbitrary,,,,,
445925,Anemone_pink_1,443264,bbaaaa,3270,,Arbitrary,,,,,
445926,Stylasteridae_white_1,443505,bbaaaa,3270,,Arbitrary,,,,,
445927,Echiura_non-bifurcated_1,443288,bbaaaa,3270,,Arbitrary,,,,,
445928,Echinoida_dark_1,443171,bbaaaa,3270,,Arbitrary,,,,,
445929,Porifera_brown_cup_1,443267,bbaaaa,3270,,Arbitrary,,,,,
445930,Porifera_beige_tube_1,443267,bbaaaa,3270,,Arbitrary,,,,,
445931,Alcyonacea_small_white_1,443497,bbaaaa,3270,,Arbitrary,,,,,
445933,Cup coral_stalked_1,443812,bbaaaa,3270,,Arbitrary,,,,,
445934,Cup coral_1,443813,bbaaaa,3270,,Arbitrary,,,,,
445935,Anemone_pink_2,443264,bbaaaa,3270,,Arbitrary,,,,,
445936,Anemone_small_orange_1,443264,bbaaaa,3270,,Arbitrary,,,,,
445937,Porifera_white_dish_1,443267,bbaaaa,3270,,Arbitrary,,,,,
445938,Goniasteridae_2,443358,bbaaaa,3270,,Arbitrary,,,,,
445939,Ophiuroid_orange_1,443168,bbaaaa,3270,,Arbitrary,,,,,
445940,Asteroidea_white_small_1,443166,bbaaaa,3270,,Arbitrary,,,,,
445941,Asteroidea_slim_orange_1,443166,bbaaaa,3270,,Arbitrary,,,,,
445942,Asteroidea_v.small,443166,bbaaaa,3270,,Arbitrary,,,,,
445943,Crab_1,443187,bbaaaa,3270,,Arbitrary,,,,,
445944,Scaphopoda_1,443226,bbaaaa,3270,,Arbitrary,,,,,
445945,Holothurian_white_1,443173,bbaaaa,3270,,Arbitrary,,,,,
445946,Cerianthid_1,443859,bbaaaa,3270,,Arbitrary,,,,,
445947,Holothurian_little_pig_1,443173,bbaaaa,3270,,Arbitrary,,,,,
445948,Ophiuroid_white_2,443168,bbaaaa,3270,,Arbitrary,,,,,
445949,Asteroid_buried_1,443166,bbaaaa,3270,,Arbitrary,,,,,
445952,Buccinidae_1,443604,bbaaaa,3270,,Arbitrary,,,,,
445953,Echinoid_birthday_cake,443171,bbaaaa,3270,,Arbitrary,,,,,
445954,Echinoid_darK_star,443171,b8a7a7,3270,,Arbitrary,,,,,
445955,Ophiuroid_frilly_feeding,443168,bbaaaa,3270,,Arbitrary,,,,,
445956,Cerianthid_white_1,443859,bbaaaa,3270,,Arbitrary,,,,,
445957,Anemone_medium_orange_1,443264,bbaaaa,3270,,Arbitrary,,,,,
445958,Liponema_1,444316,bbaaaa,3270,,Arbitrary,,,,,
445959,Cirripedia_1,443287,bbaaaa,3270,,Arbitrary,,,,,
445960,Buccinidae_2,443604,bbaaaa,3270,,Arbitrary,,,,,
445961,Solasteridae_pale_pink_1,443378,bbaaaa,3270,,Arbitrary,,,,,
445962,Unknown,,b47eaf,3270,,Arbitrary,,,,,
